Age,City,StateProvinceCode,PostalCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,IsDeleted,ThreeYearVisitCount,SkiAbility,NearestMajorAirportCode,SkiLoyaltyIndexRating,IsWinterGuest,IsSummerGuest,FrontRangeMarket,CustId,Spend_Winter_2010,Spend_Winter_2011,Spend_Winter_2012,Spend_Winter_2013,Spend_Winter_2014,Spend_Winter_2015,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,HouseholdIncome,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,HouseholdCreateDate,Pass_Winter_2010,Pass_Winter_2011,Pass_Winter_2012,Pass_Winter_2013,Pass_Winter_2014,Pass_Winter_2015,January,February,March,April,November,December,Ski_Resort1,Ski_Resort2,Ski_Resort3,Ski_Resort4,Ski_Resort5
22,Fort Collins,CO,80526,1261.08,8.79,1070.79,False,23,NULL,DEN,9.36,True,True,1,1734254,118.00,0.00,69.00,177.00,0.00,0.00,920.79,3013.41,3820.41,NULL,4,3,1,2015-09-02 11:38:17.000,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2
57,Fraser,CO,80442,8243.34,1197.00,3382.34,False,16,NULL,DEN,10.00,True,True,0,1989313,177.00,770.00,377.00,336.00,297.00,179.00,1197.00,3382.34,4029.34,NULL,5,5,0,2015-09-02 11:38:17.000,1,1,1,1,1,1,0,10,0,0,0,0,0,0,0,0,10
68,Denver,CO,80211,4691.67,918.03,2199.67,False,13,NULL,DEN,0.00,True,True,1,1742412,149.00,0.00,69.00,159.00,159.00,0.00,420.89,2199.67,2687.67,NULL,2,2,0,2015-09-02 11:38:17.000,1,1,1,1,1,1,2,0,1,0,1,1,0,0,0,0,5
39,Fort Collins,CO,80525,3798.48,678.00,1406.48,False,13,NULL,DEN,10.00,True,True,1,1770404,59.00,69.00,79.00,218.00,359.86,179.00,678.00,1861.48,2503.08,NULL,3,2,1,2015-10-04 07:00:05.000,1,1,1,0,0,0,3,0,0,0,1,5,0,0,0,0,9
31,Parker,CO,80138,2641.13,.00,886.13,False,21,NULL,DEN,6.57,True,True,1,1949814,0.00,0.00,79.00,0.00,364.00,0.00,3063.67,5310.47,5757.47,NULL,6,5,1,2016-04-21 05:00:07.000,1,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,3
46,Castle Rock,CO,80109,2600.9,199.00,954.90,False,6,NULL,DEN,10.00,True,True,1,1486901,267.00,149.00,546.00,354.00,0.00,199.00,199.00,1004.61,1538.18,NULL,4,1,3,2015-09-02 11:38:17.000,0,0,0,1,0,0,0,1,4,1,0,0,0,0,0,0,6
60,Palmer Lake,CO,80133,2583.44,469.00,1647.44,False,29,NULL,DEN,7.34,True,True,0,1735276,59.00,0.00,0.00,295.00,0.00,0.00,1307.00,2950.78,3877.78,NULL,3,3,0,2015-09-14 07:00:13.000,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,2
61,Englewood,CO,80111,4926.73,1107.00,3540.73,False,23,NULL,DEN,0.00,True,True,1,2220788,385.00,149.00,584.00,385.00,456.00,199.00,1485.72,4289.55,5071.55,NULL,6,4,2,2015-09-02 11:38:17.000,0,0,1,1,1,1,2,2,3,0,0,1,0,0,0,0,8
59,Denver,CO,80231,5756.54,399.00,2135.54,False,14,NULL,DEN,0.00,True,True,1,1733570,342.00,483.00,562.00,354.00,552.00,0.00,399.00,2135.54,3066.54,NULL,4,4,0,2015-09-02 11:38:17.000,0,1,1,0,1,1,2,0,2,0,0,0,0,0,0,0,4
40,Englewood,CO,80110,795,.00,99.00,False,1,NULL,DEN,0.00,True,True,1,1741765,59.00,0.00,228.00,0.00,0.00,0.00,0.00,99.00,178.00,NULL,3,3,0,2015-10-09 05:00:04.000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
117,Englewood,CO,80110,11775,.00,.00,False,0,NULL,DEN,10.00,True,True,1,1483552,12000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1538.95,NULL,5,5,0,2015-10-29 05:00:15.000,1,0,0,0,0,0,31,18,51,12,0,24,0,0,0,0,136
57,Denver,CO,80209,9031.52,1807.28,4316.56,False,23,NULL,DEN,10.00,True,True,1,1740188,59.00,0.00,79.00,118.00,159.00,398.00,1807.28,5252.56,5715.56,NULL,8,8,0,2015-09-02 11:38:17.000,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
51,Littleton,CO,80127,263.02,98.00,98.00,False,3,NULL,DEN,4.51,True,True,1,1458909,149.00,0.00,0.00,0.00,0.00,0.00,118.26,118.26,134.28,NULL,7,5,2,2015-09-18 07:00:05.000,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3
60,Denver,CO,80206,1094.22,.00,.00,False,0,NULL,DEN,10.00,True,False,1,1456476,118.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,1,1,0,2015-09-02 11:38:17.000,1,1,0,0,0,0,1,2,3,0,0,6,0,0,0,0,12
72,Westminster,CO,80031,1639,.00,149.00,False,1,NULL,DEN,10.00,True,True,1,1665959,354.00,0.00,298.00,149.00,0.00,0.00,0.00,0.00,149.00,NULL,1,1,0,2015-09-02 11:38:17.000,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
47,Boulder,CO,80305,1155,.00,219.00,False,3,NULL,DEN,0.00,True,True,1,1476725,118.00,0.00,0.00,0.00,219.00,0.00,0.00,441.00,441.00,NULL,2,2,0,2015-09-02 11:38:17.000,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,6
45,Castle Rock,CO,80104,275.8,36.80,36.80,False,1,NULL,DEN,10.00,True,True,1,2130449,0.00,0.00,0.00,0.00,0.00,0.00,36.80,36.80,36.80,NULL,1,1,0,2015-09-02 11:38:17.000,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3
65,Denver,CO,80210,4646.82,10.00,30.00,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7363046,60.00,0.00,0.00,0.00,0.00,0.00,10.00,30.00,4690.81,NULL,3,0,3,2015-09-16 07:15:00.000,1,1,1,1,1,1,4,6,3,6,2,2,0,0,0,0,23
48,Highlands Ranch,CO,80129,3033.1,863.00,2307.31,False,0,NULL,DEN,10.00,True,True,1,2156294,208.00,159.00,149.00,405.00,207.00,716.00,412.83,2863.68,3058.47,NULL,8,3,5,2015-09-02 11:38:17.000,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2
