Age,City,StateProvinceCode,PostalCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,ThreeYearVisitCount,SkiLoyaltyIndexRating,IsWinterGuest,IsSummerGuest,FrontRangeMarket,Spend_Winter_2010,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,Pass_Winter_2010,January,February,March,April,November,December,Ski_Resort1,Ski_Resort2,Ski_Resort3,Ski_Resort4,Ski_Resort5,Pass_Winter_2011
22,Fort Collins,CO,80526,1261.08,8.79,1070.79,23.0,9.36,True,True,1.0,118.0,920.79,3013.41,3820.41,4.0,3.0,1.0,0,0,2,0,0,0,0,0,0,0,0,2,0
57,Fraser,CO,80442,8243.34,1197.0,3382.34,16.0,10.0,True,True,0.0,177.0,1197.0,3382.34,4029.34,5.0,5.0,0.0,1,0,10,0,0,0,0,0,0,0,0,10,1
68,Denver,CO,80211,4691.67,918.03,2199.67,13.0,0.0,True,True,1.0,149.0,420.89,2199.67,2687.67,2.0,2.0,0.0,1,2,0,1,0,1,1,0,0,0,0,5,1
39,Fort Collins,CO,80525,3798.48,678.0,1406.48,13.0,10.0,True,True,1.0,59.0,678.0,1861.48,2503.08,3.0,2.0,1.0,1,3,0,0,0,1,5,0,0,0,0,9,1
31,Parker,CO,80138,2641.13,0.0,886.13,21.0,6.57,True,True,1.0,0.0,3063.67,5310.47,5757.47,6.0,5.0,1.0,1,0,0,0,2,0,1,0,0,0,0,3,1
46,Castle Rock,CO,80109,2600.9,199.0,954.9,6.0,10.0,True,True,1.0,267.0,199.0,1004.61,1538.18,4.0,1.0,3.0,0,0,1,4,1,0,0,0,0,0,0,6,0
60,Palmer Lake,CO,80133,2583.44,469.0,1647.44,29.0,7.34,True,True,0.0,59.0,1307.0,2950.78,3877.78,3.0,3.0,0.0,0,0,0,1,0,0,1,0,0,0,0,2,0
61,Englewood,CO,80111,4926.73,1107.0,3540.73,23.0,0.0,True,True,1.0,385.0,1485.72,4289.55,5071.55,6.0,4.0,2.0,0,2,2,3,0,0,1,0,0,0,0,8,0
59,Denver,CO,80231,5756.54,399.0,2135.54,14.0,0.0,True,True,1.0,342.0,399.0,2135.54,3066.54,4.0,4.0,0.0,0,2,0,2,0,0,0,0,0,0,0,4,1
40,Englewood,CO,80110,795.0,0.0,99.0,1.0,0.0,True,True,1.0,59.0,0.0,99.0,178.0,3.0,3.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1
