Age,StateProvinceCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,ThreeYearVisitCount,SkiLoyaltyIndexRating,FrontRangeMarket,CustId,Spend_Winter_2010,Spend_Winter_2011,Spend_Winter_2012,Spend_Winter_2013,Spend_Winter_2014,Spend_Winter_2015,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,Pass_Winter_2010,Pass_Winter_2011,Pass_Winter_2012,Pass_Winter_2013,Pass_Winter_2014,Pass_Winter_2015,January_15,February_15,March_15,April_15,November_14,December_14,Ski_Resort1_2014_2015,Ski_Resort2_2014_2015,Ski_Resort3_2014_2015,Ski_Resort4_2014_2015,Ski_Resort5_2014_2015
44,CO,3594.3,268.66,2535.30,57,10.00,0,1000083,0.00,0.00,0.00,0.00,158.00,0.00,3517.27,10312.20,11167.46,7,5,2,0,0,0,0,1,0,2,4,2,1,1,8,0,0,18,0,0
31,CO,1043.62,.00,648.62,4,8.52,1,1001039,395.00,0.00,0.00,0.00,69.00,0.00,0.00,648.62,648.62,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,3
48,CO,3399.88,33.67,198.88,21,8.17,0,1001648,13.10,696.00,227.00,0.00,138.00,0.00,468.39,2526.10,3550.10,3,3,0,0,0,1,1,0,0,1,4,2,2,0,2,0,0,0,0,11
55,CO,7024.01,828.94,2143.74,26,0.00,1,1001698,236.00,218.00,149.00,0.00,0.00,0.00,1013.74,2422.05,3720.82,3,3,0,1,1,1,1,1,1,9,7,5,3,1,2,0,0,3,0,24
47,CO,1220.37,499.00,1051.37,4,7.24,1,1001823,0.00,0.00,169.00,0.00,179.00,0.00,499.00,1051.37,1220.37,2,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3
44,CO,2665.32,5.00,2367.32,17,0.00,1,1000657,149.00,0.00,149.00,501.58,276.00,0.00,264.00,2626.32,2775.32,4,3,1,0,0,0,1,0,0,2,0,6,0,0,1,0,0,0,0,9
73,CO,12183.62,956.00,2577.06,16,6.50,1,1001825,59.00,625.24,0.00,124.00,0.00,0.00,98.00,2577.06,2675.06,6,6,0,0,1,1,1,1,1,2,1,3,0,0,0,0,0,0,0,6
48,CO,1240.7,247.75,1240.70,9,0.00,1,1001912,0.00,0.00,0.00,0.00,326.00,199.00,247.75,1320.92,1447.41,3,1,2,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,3
51,CO,8453.32,401.74,2912.74,11,2.72,1,1002393,0.00,0.00,0.00,125.00,0.00,0.00,401.74,3346.38,3346.38,5,4,1,0,1,1,1,1,1,2,1,0,0,0,0,0,0,3,0,0
58,CO,18378.32,1863.00,7500.32,34,10.00,0,1000030,0.00,0.00,55.00,0.00,0.00,0.00,1868.00,8008.60,10310.60,3,2,1,1,1,1,1,1,1,1,13,2,4,1,6,0,0,0,0,27
57,CO,3703.84,.00,1512.11,11,8.43,1,1001636,385.00,149.00,228.00,0.00,159.00,358.00,1188.00,2892.75,3969.75,4,4,0,1,1,1,1,0,0,2,0,1,1,0,1,0,0,0,0,5
52,CO,5466.23,1023.73,3054.73,23,7.47,1,1001667,0.00,0.00,0.00,177.00,0.00,0.00,1035.32,3066.32,3164.32,2,2,0,1,1,1,1,1,1,2,3,2,1,0,2,0,0,3,0,7
58,CO,2668.77,33.77,289.77,13,0.00,1,1001787,0.00,0.00,0.00,118.00,138.00,0.00,33.77,289.77,1106.77,4,3,1,1,1,1,0,0,0,3,4,2,0,1,2,0,0,1,0,11
