Age,StateProvinceCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,ThreeYearVisitCount,SkiLoyaltyIndexRating,FrontRangeMarket,CustId,Spend_Winter_2010,Spend_Winter_2011,Spend_Winter_2012,Spend_Winter_2013,Spend_Winter_2014,Spend_Winter_2015,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,Pass_Winter_2010,Pass_Winter_2011,Pass_Winter_2012,Pass_Winter_2013,Pass_Winter_2014,Pass_Winter_2015_x,January_15,February_15,March_15,April_15,November_14,December_14,Ski_Resort1_2014_2015,Ski_Resort2_2014_2015,Ski_Resort3_2014_2015,Ski_Resort4_2014_2015,Ski_Resort5_2014_2015,Pass_Winter_2015_y,actual_y,predicted_label,predicted_proba
55,CO,7024.01,828.94,2143.74,26,0.0,1,1001698,236.0,218.0,149.0,0.0,0.0,0.0,1013.74,2422.05,3720.82,3,3,0,1,1,1,1,1,1,9,7,5,3,1,2,0,0,3,0,24,1,1,1,0.9600088
29,CO,1246.0,49.0,1246.0,10,9.21,1,1002457,0.0,0.0,0.0,129.0,0.0,0.0,49.0,2314.0,2314.0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0.33163276
41,CO,6522.26,4249.0,6522.26,36,0.0,0,1005108,0.0,0.0,0.0,354.0,848.0,0.0,4772.81,8354.07,8354.07,7,4,3,0,0,0,1,1,1,5,12,10,5,2,4,0,0,0,0,38,1,1,1,0.9550335
54,CO,4041.12,420.0,1696.14,19,9.47,1,1007614,0.0,0.0,0.0,0.0,138.0,0.0,420.0,1696.14,1903.12,1,1,0,0,1,1,1,1,1,2,1,2,0,0,0,0,0,2,0,3,1,1,1,0.95555335
61,CO,3382.0,425.0,1508.0,12,10.0,1,1007866,0.0,138.0,0.0,177.0,69.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,1,1,1,1,0,2,2,0,2,0,0,0,0,7,1,1,1,0.96744597
45,CO,3683.8,1520.97,3683.8,22,9.2,1,1000286,0.0,0.0,0.0,0.0,138.0,0.0,1606.65,3882.18,3882.18,5,2,3,0,0,0,0,1,1,1,3,1,0,0,1,0,0,0,0,6,1,1,1,0.94575965
34,CO,1077.0,10.0,770.0,8,5.42,1,1001188,0.0,0.0,0.0,0.0,0.0,10.0,10.0,899.0,1037.0,4,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.13875203
45,CO,3431.89,1049.75,2033.0,25,10.0,1,1014716,0.0,0.0,0.0,0.0,0.0,0.0,2020.88,3926.61,4092.23,2,2,0,0,1,1,1,1,1,10,9,4,0,2,10,0,0,0,0,35,1,1,1,0.97202605
29,CO,2442.0,1028.0,2313.0,16,0.0,1,1014773,0.0,129.0,0.0,229.0,199.0,229.0,599.0,1944.0,2313.0,1,1,0,0,0,0,1,1,1,1,4,0,0,0,1,0,0,4,0,2,1,1,1,0.93831336
20,CO,980.0,0.0,207.0,24,0.0,1,1003353,0.0,0.0,0.0,0.0,207.0,0.0,2782.55,8608.27,8708.27,4,4,0,0,1,0,0,0,0,4,3,4,0,1,1,0,0,0,0,13,0,0,0,0.019700134
